第1题: 1/2*(1'1/3+(1/5+4))=2'23/30
第2题: 8/9+1/6=1'1/18
第3题: 6+10=16
第4题: (1/2-1*1)*8'6/9=-4'1/3
第5题: 10+4'4/6*(2'1/3÷7'7/8)=11'31/81
第6题: (4÷4'3/7÷7)+5=5'4/31
第7题: 9-3'4/9=5'5/9
第8题: 1/2+10=10'1/2
第9题: (4÷9)+6=6'4/9
第10题: 1+1=2
第11题: 5'4/6-3=2'2/3
第12题: 4'3/5*1'2/3=7'2/3
第13题: 2/9÷4=1/18
第14题: 3+(4'3/8÷4/7)=10'21/32
第15题: 9÷1/1=9
第16题: (8+7'5/7*2'1/3)*2=52
第17题: 1÷3-7=-6'2/3
第18题: 6+1/3=6'1/3
第19题: (1/4+4'3/4*3'6/7)-9=9'4/7
第20题: (1*2)-3'2/7=-1'2/7
第21题: (1'1/2+5÷3)=3'1/6
第22题: 2*7=14
第23题: 6+(4*1/3)-8=-2/3
第24题: (5*2'1/2)*3/7+9=14'5/14
第25题: 4'1/10-1/3-2/7=3'101/210
第26题: 1'5/7-2/4=1'3/14
第27题: 3÷1-4=-1
第28题: 4*(6+4)=40
第29题: 1/2*3=1'1/2
第30题: 7+5=12
第31题: (8÷1'2/6-1'1/1)=4
第32题: 1/2-(7*(1'1/2*4))=-41'1/2
第33题: 9÷1/1*1/7+1/4=1'15/28
第34题: 5+7=12
第35题: (1/3÷5'4/5-9)=-8'82/87
第36题: 1/2-9=-8'1/2
第37题: 7+1=8
第38题: 2'1/3*(6+1)=16'1/3
第39题: (1-6)÷(5-7)=2'1/2
第40题: 6*(2*5'1/7)=61'5/7
第41题: 8*(4/6÷10)=8/15
第42题: 7*3'1/3=23'1/3
第43题: 6*8-9=39
第44题: 10*8'1/9=81'1/9
第45题: 6'5/6+10=16'5/6
第46题: 3/4÷3'1/5÷2'1/2=3/32
第47题: 2÷2=1
第48题: 2'1/2+6-6=2'1/2
第49题: 7-2'1/2=4'1/2
第50题: 1/2*7=3'1/2
第51题: (2/9-1+4)-6=-2'7/9
第52题: 3'3/10*1/6=11/20
第53题: 1+(5'6/10*5)=29
第54题: (5÷8)+1/3*6/7=51/56
第55题: (4*2)-1/1=7
第56题: 5*(1/10*(7÷3'1/3))=1'1/20
第57题: 2'8/9-6'1/8=-3'17/72
第58题: (9+2/4)-(1'1/2*1'1/1)=6'1/2
第59题: 6+(5/6÷10)=6'1/12
第60题: 1/3÷1/2=2/3
第61题: 1'1/1*1÷2/5=5
第62题: 10+7=17
第63题: 10*4*4/5=32
第64题: 1/6+1/1=1'1/6
第65题: 1+(7÷2/5)=18'1/2
第66题: 4/9-(8'2/9+4'4/7)*7=-89'1/9
第67题: 7'1/10-5/9=6'49/90
第68题: (3*1/4-9)+2'6/8=-5'1/2
第69题: 4/9÷3+(3'1/3*4)=13'13/27
第70题: (4÷7)÷3'1/7=2/11
第71题: (2÷4)÷(1/3*2/3)=2'1/4
第72题: 1*1'1/3=1'1/3
第73题: (8*1/3)÷4'3/6=16/27
第74题: (5+2/7)÷4'3/7*9=10'23/31
第75题: (1/2÷10-2'2/5÷1/1)=-2'7/20
第76题: 7÷2=3'1/2
第77题: (1/1-1/2)÷(2÷5)=1'1/4
第78题: 3+1=4
第79题: (6+1'1/1)-3/4=7'1/4
第80题: 6'5/6*2+2=15'2/3
第81题: (7+3'1/4÷3)=8'1/12
第82题: 1/3*3=1
第83题: (5+6'3/7)-6/9=10'16/21
第84题: (4*9'1/10*1'1/1)*1/1=72'4/5
第85题: (1-4/6+4'9/10)=5'7/30
第86题: 4/7-1=-3/7
第87题: 1+2=3
第88题: 1-5/9-1/4=7/36
第89题: (7÷8/9)÷1/4=31'1/2
